City_ID,City,Country,Date,Lat,Lng,Weather,Max Temp,Humidity,Cloudiness,Wind Speed
196,Kavaratti,IN,2022-03-02 19:54:39,10.5669,72.642,Overcast Clouds,82.27,65,99,10.04
197,Barcelona,ES,2022-03-02 19:53:21,41.3888,2.159,Few Clouds,56.57,89,20,9.22
198,Mangan,IN,2022-03-02 19:54:40,27.5167,88.5333,Clear Sky,53.44,61,5,6.51
199,Port Elizabeth,ZA,2022-03-02 19:54:41,-33.918,25.5701,Clear Sky,70.09,83,0,14.97
200,Kandrian,PG,2022-03-02 19:54:42,-6.2167,149.55,Overcast Clouds,76.3,86,100,4.21
201,Iquitos,PE,2022-03-02 19:54:42,-3.7481,-73.2472,Broken Clouds,77.04,88,75,2.3
202,Sucua,EC,2022-03-02 19:54:42,-2.4667,-78.1667,Light Rain,77.74,78,75,4.61
203,Guanica,PR,2022-03-02 19:54:43,17.9716,-66.908,Few Clouds,82.26,80,24,5.01
204,Bengkulu,ID,2022-03-02 19:54:43,-3.8004,102.2655,Broken Clouds,75.49,89,82,4.21
205,Port Augusta,AU,2022-03-02 19:54:44,-32.5,137.7667,Clear Sky,69.71,53,1,4.79
206,Vestmannaeyjar,IS,2022-03-02 19:54:44,63.4427,-20.2734,Overcast Clouds,42.1,63,100,20.87
207,Anadyr,RU,2022-03-02 19:54:44,64.75,177.4833,Overcast Clouds,-6.18,100,98,3.96
208,Buchanan,LR,2022-03-02 19:54:45,5.8808,-10.0467,Moderate Rain,76.96,85,100,5.19
209,Aripuana,BR,2022-03-02 19:54:45,-9.1667,-60.6333,Overcast Clouds,81.45,87,92,1.21
210,Formosa,AR,2022-03-02 19:54:46,-26.1775,-58.1781,Broken Clouds,91.38,49,75,13.8
211,Pisco,PE,2022-03-02 19:54:46,-13.7,-76.2167,Clear Sky,77.05,69,0,10.36
212,Fuyu,CN,2022-03-02 19:54:46,45.1833,124.8167,Overcast Clouds,2.97,100,89,5.66
213,Hare Bay,CA,2022-03-02 19:54:47,48.8499,-54.0148,Overcast Clouds,27.75,66,99,12.15
214,Rawson,AR,2022-03-02 19:50:51,-43.3002,-65.1023,Clear Sky,72.64,40,2,1.23
215,Ponta Do Sol,PT,2022-03-02 19:54:48,32.6667,-17.1,Few Clouds,66.0,79,23,2.1
216,Victoria,HK,2022-03-02 19:51:35,22.2855,114.1577,Overcast Clouds,67.96,83,92,15.99
217,Kalabo,ZM,2022-03-02 19:54:48,-14.97,22.6814,Light Rain,69.12,86,69,4.88
218,Nanortalik,GL,2022-03-02 19:54:49,60.1432,-45.2371,Snow,21.9,93,100,27.63
219,Abu Dhabi,AE,2022-03-02 19:52:19,24.4667,54.3667,Clear Sky,68.97,82,0,3.44
220,Hovd,MN,2022-03-02 19:54:49,48.0056,91.6419,Overcast Clouds,10.87,64,86,9.24
221,Sayat,TM,2022-03-02 19:54:50,38.7839,63.8803,Overcast Clouds,49.87,41,90,10.04
222,Iqaluit,CA,2022-03-02 19:54:50,63.7506,-68.5145,Overcast Clouds,-5.31,70,100,16.11
223,Luderitz,NA,2022-03-02 19:54:51,-26.6481,15.1594,Clear Sky,66.58,84,0,9.86
224,Kigoma,TZ,2022-03-02 19:55:51,-4.8769,29.6267,Light Rain,74.34,80,94,2.98
225,Albanel,CA,2022-03-02 19:55:51,48.8832,-72.4487,Overcast Clouds,15.78,48,100,12.66
226,Soyo,AO,2022-03-02 19:55:52,-6.1349,12.3689,Few Clouds,80.8,81,20,7.74
227,Ostrovnoy,RU,2022-03-02 19:55:52,68.0531,39.5131,Overcast Clouds,27.54,91,100,9.01
228,Hurghada,EG,2022-03-02 19:55:53,27.2574,33.8129,Clear Sky,69.84,78,0,3.44
229,Kunigal,IN,2022-03-02 19:55:53,13.0222,77.0267,Overcast Clouds,68.36,39,100,9.62
230,Puerto Carreno,CO,2022-03-02 19:55:53,6.189,-67.4859,Scattered Clouds,96.78,38,40,8.05
231,Ivankiv,UA,2022-03-02 19:55:54,50.9386,29.8943,Overcast Clouds,33.6,98,100,5.82
232,Whangarei,NZ,2022-03-02 19:55:54,-35.7317,174.3239,Overcast Clouds,67.48,63,100,11.21
233,Laguna,US,2022-03-02 19:51:59,38.421,-121.4238,Clear Sky,75.24,48,0,3.44
234,Portland,US,2022-03-02 19:54:01,45.5234,-122.6762,Moderate Rain,55.53,94,100,1.99
235,Bambous Virieux,MU,2022-03-02 19:55:55,-20.3428,57.7575,Light Rain,80.85,89,75,12.66
236,Pizarro,CO,2022-03-02 19:55:56,4.9533,-77.366,Light Rain,79.97,82,86,5.32
237,Novoagansk,RU,2022-03-02 19:55:56,61.9449,76.6625,Light Snow,11.28,96,100,8.3
238,Wukari,NG,2022-03-02 19:55:57,7.85,9.7833,Overcast Clouds,89.11,24,92,3.96
239,Dakar,SN,2022-03-02 19:55:58,14.6937,-17.4441,Dust,74.28,83,8,13.8
240,Gao,ML,2022-03-02 19:55:58,16.6362,1.637,Few Clouds,85.64,12,16,7.83
241,Bayji,IQ,2022-03-02 19:55:59,34.9311,43.487,Overcast Clouds,61.48,64,100,13.53
242,Banda Aceh,ID,2022-03-02 19:55:59,5.5577,95.3222,Overcast Clouds,78.48,84,100,6.46
243,Kenai,US,2022-03-02 19:52:58,60.5544,-151.2583,Broken Clouds,33.1,88,75,9.22
244,Jardim,BR,2022-03-02 19:56:00,-21.4803,-56.1381,Overcast Clouds,74.3,95,100,6.55
245,Dongsheng,CN,2022-03-02 19:56:00,39.8161,109.9776,Clear Sky,28.74,26,2,13.35
246,Camalu,MX,2022-03-02 19:56:00,30.85,-116.0667,Overcast Clouds,79.43,35,100,5.79
247,Parana,AR,2022-03-02 19:56:01,-31.732,-60.5238,Clear Sky,92.55,36,0,4.9
248,Raudeberg,NO,2022-03-02 19:56:02,61.9875,5.1352,Broken Clouds,39.2,92,56,9.4
249,Sao Joao Da Barra,BR,2022-03-02 19:56:02,-21.6403,-41.0511,Few Clouds,87.89,83,19,15.12
250,North Bend,US,2022-03-02 19:53:16,43.4065,-124.2243,Overcast Clouds,55.24,99,100,8.05
251,Florianopolis,BR,2022-03-02 19:56:03,-27.6146,-48.5012,Scattered Clouds,83.43,75,40,9.22
