City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Kodiak,US,2022-03-01 19:43:43,57.79,-152.4072,33.31,80,100,4.61
150,Makakilo City,US,2022-03-01 19:47:00,21.3469,-158.0858,77.29,71,40,6.91
151,Biak,ID,2022-03-01 19:47:00,-0.9131,122.8766,76.01,84,34,2.48
152,Coquimbo,CL,2022-03-01 19:47:01,-29.9533,-71.3436,67.73,68,20,16.11
153,La Seyne-Sur-Mer,FR,2022-03-01 19:47:01,43.0982,5.8847,48.16,69,66,5.91
154,Tura,IN,2022-03-01 19:47:01,25.5198,90.2201,61.47,43,0,2.77
155,Devils Lake,US,2022-03-01 19:43:32,48.1128,-98.8651,17.94,76,100,3.44
156,San Patricio,US,2022-03-01 19:47:02,28.017,-97.5169,71.69,36,1,8.16
157,Kankaanpaa,FI,2022-03-01 19:47:02,61.8,22.4167,32.76,98,100,7.4
158,Natal,BR,2022-03-01 19:47:03,-5.795,-35.2094,88.45,58,20,18.41
159,Aasiaat,GL,2022-03-01 19:47:03,68.7098,-52.8699,7.68,82,98,10.87
160,Hami,CN,2022-03-01 19:47:04,42.8,93.45,32.4,30,5,3.27
161,Khatanga,RU,2022-03-01 19:47:04,71.9667,102.5,-1.46,97,77,13.2
162,Saldanha,ZA,2022-03-01 19:47:05,-33.0117,17.9442,66.25,90,0,10.22
163,Klaksvik,FO,2022-03-01 19:47:05,62.2266,-6.589,41.92,81,50,24.14
164,Rodrigues Alves,BR,2022-03-01 19:47:05,-7.738,-72.6509,77.2,85,100,3.78
165,Sao Filipe,CV,2022-03-01 19:47:06,14.8961,-24.4956,71.1,64,2,18.61
166,San Rafael,AR,2022-03-01 19:47:06,-34.6177,-68.3301,88.57,19,0,6.82
167,Ostrovnoy,RU,2022-03-01 19:47:06,68.0531,39.5131,29.57,91,100,19.6
168,Madhogarh,IN,2022-03-01 19:47:07,26.276,79.1869,61.29,33,0,4.79
169,Bambous Virieux,MU,2022-03-01 19:47:07,-20.3428,57.7575,81.21,83,75,11.5
170,Pisco,PE,2022-03-01 19:47:08,-13.7,-76.2167,77.02,73,0,8.05
171,Nemuro,JP,2022-03-01 19:47:08,43.3236,145.575,24.26,73,69,5.14
172,Jalu,LY,2022-03-01 19:47:08,29.0331,21.5482,70.32,17,100,7.18
173,Svetlogorsk,BY,2022-03-01 19:47:09,52.6333,29.7333,29.82,90,88,6.8
174,Bethel,US,2022-03-01 19:43:40,41.3712,-73.414,44.04,60,75,14.97
175,Coronado,US,2022-03-01 19:47:09,32.6859,-117.1831,88.7,19,20,5.75
176,Kasungu,MW,2022-03-01 19:47:10,-13.0333,33.4833,66.88,97,100,4.36
177,Camana,PE,2022-03-01 19:47:10,-16.6228,-72.7111,74.08,78,100,6.64
178,Abalak,RU,2022-03-01 19:47:11,58.1286,68.5944,17.19,89,98,9.93
179,Sorland,NO,2022-03-01 19:47:11,67.667,12.6934,39.27,87,100,36.57
180,College,US,2022-03-01 19:47:11,64.8569,-147.8028,20.28,85,100,0.0
181,Rudbar,AF,2022-03-01 19:47:12,30.15,62.6,62.82,52,71,7.63
182,Port Alfred,ZA,2022-03-01 19:48:12,-33.5906,26.891,75.36,90,67,17.47
183,Chuy,UY,2022-03-01 19:48:13,-33.6971,-53.4616,73.06,43,0,6.46
184,Kurchum,KZ,2022-03-01 19:48:13,48.5722,83.6542,0.88,88,14,3.24
185,Farafangana,MG,2022-03-01 19:48:13,-22.8167,47.8333,76.14,93,100,7.11
186,Acapulco,MX,2022-03-01 19:45:43,16.8634,-99.8901,84.02,65,0,11.5
187,Arraial Do Cabo,BR,2022-03-01 19:48:14,-22.9661,-42.0278,89.56,55,0,18.41
188,Kuryk,KZ,2022-03-01 19:48:14,43.2,51.65,49.24,64,100,10.38
189,Seryshevo,RU,2022-03-01 19:48:15,51.0933,128.3786,1.26,98,100,2.17
190,Zhigansk,RU,2022-03-01 19:48:15,66.7697,123.3711,-27.54,100,100,2.04
191,Port Augusta,AU,2022-03-01 19:48:16,-32.5,137.7667,68.14,84,0,6.33
192,Ribeira Grande,PT,2022-03-01 19:44:52,38.5167,-28.7,63.0,82,75,21.85
193,Kiomboi,TZ,2022-03-01 19:48:16,-4.2667,34.3667,63.52,78,100,4.99
194,Namibe,AO,2022-03-01 19:48:17,-15.1961,12.1522,73.63,82,42,3.02
195,Nsanje,MW,2022-03-01 19:48:17,-16.92,35.262,71.31,95,27,2.66
196,Kruisfontein,ZA,2022-03-01 19:46:13,-34.0033,24.7314,67.89,94,57,4.38
197,Mount Isa,AU,2022-03-01 19:48:18,-20.7333,139.5,80.37,29,27,5.75
198,Stromness,GB,2022-03-01 19:45:44,58.965,-3.296,42.76,86,76,16.37
199,Anamur,TR,2022-03-01 19:48:18,36.0751,32.8369,53.62,92,100,10.6
200,Half Moon Bay,US,2022-03-01 19:48:19,37.4636,-122.4286,75.15,63,97,3.0
201,Pljevlja,ME,2022-03-01 19:48:19,43.3333,19.3333,21.56,98,100,2.17
202,Saint George,US,2022-03-01 19:47:48,37.1041,-113.5841,72.07,22,0,1.01
203,Comodoro Rivadavia,AR,2022-03-01 19:47:41,-45.8667,-67.5,82.26,17,20,29.93
204,Corrente,BR,2022-03-01 19:48:20,-3.7367,-43.3394,80.62,76,86,2.68
205,Chandur Bazar,IN,2022-03-01 19:48:20,21.2417,77.7456,76.28,26,0,8.59
206,Sanlucar La Mayor,ES,2022-03-01 19:48:21,37.3871,-6.2011,63.48,51,0,2.3
207,Longyearbyen,SJ,2022-03-01 19:48:21,78.2186,15.6401,10.24,61,0,23.02
208,Riyadh,SA,2022-03-01 19:47:03,24.6877,46.7219,66.34,28,0,9.08
209,Calvinia,ZA,2022-03-01 19:48:22,-31.4707,19.776,63.48,63,0,9.08
210,Faya,SA,2022-03-01 19:48:22,18.3851,42.4509,60.91,48,51,4.97
211,Dwarka,IN,2022-03-01 19:48:23,22.2394,68.9678,73.92,68,0,11.27
212,Manuk Mangkaw,PH,2022-03-01 19:48:23,4.8,119.85,80.28,81,98,7.74
213,Asau,RO,2022-03-01 19:48:23,46.4333,26.4,31.95,79,100,5.97
214,Broken Hill,AU,2022-03-01 19:48:24,-31.95,141.4333,64.11,88,0,4.61
215,Poya,NC,2022-03-01 19:48:24,-21.35,165.15,79.16,88,100,11.95
